Address,City,State,Postal Code,Charging Station Location,Number Of Charge Stand
"5602 Pacific Ave, Tacoma, WA 98408",Tacoma,WA,98408,"47.20600025790967, -122.43459148126614",1
"7427 S Hosmer St, Tacoma, WA 98408",Tacoma,WA,98408,"47.18930095944688, -122.46040408802578",12
"7802 S Tacoma Way, Tacoma, WA 98499",Tacoma,WA,98499,"47.18668830332581, -122.4851182859871",2
"7921 S Hosmer St, Tacoma, WA 98408",Tacoma,WA,98408,"47.1861651176739, -122.46275992877308",6
"8405 Pacific Ave, Tacoma, WA 98444",Tacoma,WA,98444,"47.18064766382744, -122.43403941601365",1
"512 122nd St S, Tacoma, WA 98444",Tacoma,WA,98444,"47.14525458720676, -122.43910893502026",6
"2505 S 80th St, Tacoma, WA 98409",Tacoma,WA,98409,"47.184840812423374, -122.4710099534889",2
"3873 S 66th St, Tacoma, WA 98409",Tacoma,WA,98409,"47.19833354146986, -122.48931146753435",2
"9505 Bridgeport Way SW, Lakewood, WA 98499",Lakewood,WA,98499,"47.171344653005605, -122.51762701756692",1
"6010 Main St SW, Lakewood, WA 98499",Lakewood,WA,98499,"47.162423569320204, -122.51762701756692",4
"11509 Bridgeport Way SW, Lakewood, WA 98499",Lakewood,WA,98499,"47.153383574954255, -122.5038145541364",2
"207 Wilkes St, Steilacoom, WA 98388",Steilacoom,WA,98388,"47.1727654113601, -122.5979714153575",1
"Quartermaster Rd, Lakewood, WA 98498",Lakewood,WA,98498,"47.11577934611768, -122.5679042248681",2
"1302 S 38th St, Tacoma, WA 98408",Tacoma,WA,98408,"47.22226652216209, -122.45145672230748",2
"2637 N Pearl St, Tacoma, WA 98407",Tacoma,WA,98407,"47.2724315223181, -122.51420683917627",1
"1585 McNeil St, DuPont, WA 98327",DuPont,WA,98327,"47.091784403641014, -122.64542925880217",6
"7451 Cirque Dr W, University Place, WA 98467",University Place,WA,98467,"47.2139131566585, -122.53642380400046",1
"3001 S 36th St, Tacoma, WA 98409",Tacoma,WA,98409,"47.22712850186667, -122.475223916584",2
"3628 S 35th St, Tacoma, WA 98409",Tacoma,WA,98409,"47.228521105103795, -122.48429019396248",16
